ID,UF,Idade,NumFilhos,Escolaridade,Renda,IdadeGravidez,AnoFilho,EstudandoGravidez,InterrupcaoEstudos,TempoInterrupcao,GravidezProgramada,Dificuldade,LocalCuidadores,Pais
1,São Paulo,34,1,ENSINO SUPERIOR COMPLETO,de 3 a 5  salários mínimos,29,2018,SIM,SIM,até 2 anos,Não,Encontrar uma pessoa cuidadora de confiança,Sim,Brasil
2,Santa Catarina/ SC ,40,2,ENSINO MÉDIO COMPLETO,de 1 a  3  salários mínimos,37,2020,Não,Não,N/A,Não,Condições financeiras,Sim,Brasil
3,São Paulo,52,2,ENSINO MÉDIO COMPLETO,de 3 a 5  salários mínimos,24,1995,Não,Não,N/A,Não,Condições financeiras,Não,Brasil
4,São Paulo ,28,1,ENSINO MÉDIO COMPLETO,de 3 a 5  salários mínimos,26,2022,Não,Não,ainda não retornei,Sim,Condições financeiras,Talvez,Brasil
5,SP ,37,2,ENSINO SUPERIOR COMPLETO,de 3 a 5  salários mínimos,24 e 30 ,2010 e 2015,SIM,Não,N/A,Não,Encontrar uma pessoa cuidadora de confiança,Sim,Brasil
6,São Paulo,42,1,ENSINO SUPERIOR COMPLETO,de 3 a 5  salários mínimos,37,2017,Não,Não,acima de 2 anos,Não,Condições financeiras,Não,Brasil
7,São Paulo,35,2,ENSINO SUPERIOR COMPLETO,de 3 a 5  salários mínimos,21 e 32,2010 e 2020,Não,SIM,acima de 2 anos,Não,Condições financeiras,Sim,Brasil
8,São Paulo,35,1,ENSINO SUPERIOR COMPLETO,acima de 5  salários mínimos,29,2018,Não,Não,N/A,Sim,Condições financeiras,Sim,Brasil
9,São Paulo,41,2,ENSINO SUPERIOR COMPLETO,de 3 a 5  salários mínimos,20,2003,Não,SIM,acima de 2 anos,Não,Condições financeiras,Sim,Brasil
10,São Paulo,59,2,ENSINO MÉDIO COMPLETO,de 3 a 5  salários mínimos,25,1990,Não,Não,N/A,Não,"Nenhum, mas sei que tem muitas mulheres que tem inumeras, imensas dificuldades.",Sim,Brasil
11,SP ,38,2,ENSINO MÉDIO COMPLETO,de 3 a 5  salários mínimos,24,2009,Não,SIM,ainda não retornei,Sim,Encontrar uma pessoa cuidadora de confiança,Sim,Brasil
12,São Paulo ,36,1,ENSINO SUPERIOR COMPLETO,de 3 a 5  salários mínimos,27,2016,Não,Não,N/A,Sim,Tempo para foco EAD,Não,Brasil
13,SP ,36,1,ENSINO SUPERIOR INCOMPLETO,acima de 5  salários mínimos,31,2019,Não,Não,N/A,Sim,Condições financeiras,Talvez,Brasil
14,São Paulo,35,1,ENSINO SUPERIOR COMPLETO,de 3 a 5  salários mínimos,33,2022,Não,Não,N/A,Sim,Na,Sim,Brasil
15,SP Santo André ,42,1,ENSINO SUPERIOR COMPLETO,acima de 5  salários mínimos,18,2000,SIM,Não,N/A,Não,Encontrar uma pessoa cuidadora de confiança,Sim,Brasil
16,Bahia,32,1,ENSINO SUPERIOR COMPLETO,de 1 a  3  salários mínimos,24,2015,SIM,Não,N/A,Não,Condições financeiras,Sim,Brasil
17,São Paulo,40,1,ENSINO SUPERIOR INCOMPLETO,de 1 a  3  salários mínimos,18,2002,SIM,SIM,acima de 2 anos,Não,Condições financeiras,Sim,Brasil
18,Bahia,38,1,ENSINO SUPERIOR COMPLETO,de 1 a  3  salários mínimos,21,2006,SIM,Não,N/A,Não,"Tenho outros problemas, mas que não envolve meus estudos.",Sim,Brasil
19,Pernambuco,43,1,ENSINO SUPERIOR COMPLETO,de 1 a  3  salários mínimos,30,2010,Não,Não,N/A,Não,Encontrar uma pessoa cuidadora de confiança,Sim,Brasil
20,Goiás,34,2,ENSINO SUPERIOR COMPLETO,de 3 a 5  salários mínimos,21,2009,Não,SIM,acima de 2 anos,Não,Condições financeiras e rede de apoio ,Sim,Brasil
21,São Paulo,67,1,ENSINO SUPERIOR COMPLETO,de 3 a 5  salários mínimos,35,1993,Não,Não,N/A,Sim,,Sim,Brasil
22,Rio de Janeiro,32,1,ENSINO SUPERIOR COMPLETO,acima de 5  salários mínimos,30,30,Não,SIM,até 1 ano,Não,Perder tempo de qualidade com meu bebe,Talvez,Brasil
23,Brasília,35,1,ENSINO SUPERIOR COMPLETO,de 1 a  3  salários mínimos,26,2014,SIM,Não,N/A,Não,Condições financeiras,Sim,Brasil
24,São Paulo,52,4,ENSINO SUPERIOR INCOMPLETO,Até  1 salário mínimo,19,1991,SIM,SIM,ainda não retornei,Sim,,Talvez,Brasil
25,São Paulo,30,1,ENSINO SUPERIOR COMPLETO,de 1 a  3  salários mínimos,28,2022,Não,Não,N/A,Sim,,Talvez,Brasil
26,São Paulo ,29,2,ENSINO SUPERIOR COMPLETO,acima de 5  salários mínimos,24,2020,SIM,Não,N/A,Sim,Condições financeiras,Sim,Brasil
27,São Paulo,38,2,ENSINO SUPERIOR COMPLETO,acima de 5  salários mínimos,31e 35,2018 e 2021,Não,SIM,até 2 anos,Não,Tempo,Talvez,Brasil
