Carimbo de data/hora,ESTADO /UF,IDADE (somente números),NÚMERO DE FILHOS,GRAU DE ESCOLARIDADE,RENDA MÉDIA FAMILIAR,COM QUE IDADE VOCÊ ENGRAVIDOU?,EM QUE ANO TEVE SEU FILHO?,ESTAVA ESTUDANDO NO PERÍODO EM QUE ENGRAVIDOU?,VOCÊ INTERROMPEU OU ADIOU OS ESTUDOS POR CONTA DO NASCIMENTO DO FILHO(A)? devem ser considerados também cursos livres / pós graduação,POR QUANTO TEMPO VOCÊ INTERROMPEU OU ADIOU OS ESTUDOS?,SUA GRAVIDEZ FOI PROGRAMADA?,QUAL A SUA MAIOR DIFICULDADE EM RELAÇÃO A MATERNIDADE E ESTUDOS?,TER UM LOCAL COM CUIDADORES NA INSTITUIÇÃO DE ENSINO FARIA DIFERENÇA PRA VOCÊ NA RETOMADA DE ESTUDOS?
2023/11/27 10:17:58 PM GMT-3,SP,34,1,ENSINO SUPERIOR COMPLETO,de 3 a 5  salários mínimos,29,2018,SIM,SIM,até 2 anos,Não,Encontrar uma pessoa cuidadora de confiança,Sim
2023/11/27 10:25:43 PM GMT-3,Santa Catarina/ SC ,40,2,ENSINO MÉDIO COMPLETO,de 1 a  3  salários mínimos,37,2020,Não,Não,,Não,Condições financeiras,Sim
2023/11/27 10:36:56 PM GMT-3,São Paulo,52,2,ENSINO MÉDIO COMPLETO,de 3 a 5  salários mínimos,24,1995,Não,Não,,Não,Condições financeiras,Não
2023/11/27 10:48:54 PM GMT-3,São Paulo ,28,1,ENSINO MÉDIO COMPLETO,de 3 a 5  salários mínimos,26,2022,Não,Não,ainda não retornei,Sim,Condições financeiras,Talvez
2023/11/27 10:55:46 PM GMT-3,SP ,37,2,ENSINO SUPERIOR COMPLETO,de 3 a 5  salários mínimos,24 e 30 ,2010 e 2015,SIM,Não,,Não,Encontrar uma pessoa cuidadora de confiança,Sim
2023/11/27 10:58:17 PM GMT-3,São Paulo / SP,42,1,ENSINO SUPERIOR COMPLETO,de 3 a 5  salários mínimos,37,2017,Não,Não,acima de 2 anos,Não,Condições financeiras,Não
2023/11/27 10:58:34 PM GMT-3,Sao paulo,35,2,ENSINO SUPERIOR COMPLETO,de 3 a 5  salários mínimos,21 e 32,2010 e 2020,Não,SIM,acima de 2 anos,Não,Condições financeiras,Sim
2023/11/27 11:02:31 PM GMT-3,SP,35,1,ENSINO SUPERIOR COMPLETO,acima de 5  salários mínimos,29,2018,Não,Não,,Sim,Condições financeiras,Sim
2023/11/27 11:43:56 PM GMT-3,SP,41,2,ENSINO SUPERIOR COMPLETO,de 3 a 5  salários mínimos,20,2003,Não,SIM,acima de 2 anos,Não,Condições financeiras,Sim
2023/11/27 11:53:37 PM GMT-3,São  Paulo,59,2,ENSINO MÉDIO COMPLETO,de 3 a 5  salários mínimos,25,1990,Não,Não,,Não,"Nenhum, mas sei que tem muitas mulheres que tem inumeras, imensas dificuldades.",Sim
